team	off_aPPD	def_aPPD	net_aPPD
Air Force	0.36	0.96	-0.6
Akron	-0.67	0.41	-1.08
Alabama	1.23	-1.36	2.59
Appalachian State	-0.6	0.24	-0.83
Arizona	0.97	0.35	0.62
Arizona State	0.5	-0.06	0.56
Arkansas	0.1	0.46	-0.36
Arkansas State	-0.65	0.06	-0.71
Army	0.88	0.46	0.42
Auburn	0.78	-1.57	2.36
BYU	-0.96	0.36	-1.33
Ball State	-0.95	1.48	-2.43
Baylor	0.01	0.05	-0.04
Boise State	0.34	-0.06	0.4
Boston College	0.09	-0.72	0.82
Bowling Green	-0.55	0.99	-1.54
Buffalo	-0.18	0.45	-0.63
California	0.04	-0.09	0.13
Central Michigan	-0.51	-0.29	-0.22
Charlotte	-1.44	0.88	-2.32
Cincinnati	-0.18	0.68	-0.85
Clemson	0.96	-1.5	2.46
Coastal Carolina	-0.47	1.3	-1.77
Colorado	0.01	0.07	-0.06
Colorado State	0.23	0.84	-0.61
Connecticut	-0.6	1.04	-1.64
Duke	-0.29	-0.72	0.43
East Carolina	-0.01	1.7	-1.71
Eastern Michigan	-0.53	-0.39	-0.14
Florida	-0.37	-0.25	-0.12
Florida Atlantic	0.81	0.47	0.34
Florida International	-0.28	0.9	-1.18
Florida State	0.08	-1.0	1.09
Fresno State	-0.33	-0.01	-0.32
Georgia	1.22	-1.34	2.56
Georgia Southern	-0.91	1.07	-1.98
Georgia State	-1.46	0.22	-1.69
Georgia Tech	0.73	-0.71	1.44
Hawai'i	-0.36	1.37	-1.73
Houston	-0.12	-0.53	0.41
Illinois	-0.74	0.23	-0.97
Indiana	-0.04	-0.5	0.47
Iowa	0.65	-1.22	1.87
Iowa State	0.59	-0.84	1.43
Kansas	-0.29	0.62	-0.91
Kansas State	-0.01	-0.36	0.35
Kent State	-1.44	0.86	-2.3
Kentucky	0.05	0.19	-0.14
LSU	0.49	-0.45	0.94
Liberty	1.55	1.07	0.48
Louisiana	-0.86	1.46	-2.33
Louisiana Monroe	-0.03	1.77	-1.8
Louisiana Tech	-0.42	0.53	-0.95
Louisville	1.22	0.02	1.2
Marshall	-0.47	-0.11	-0.36
Maryland	0.15	0.42	-0.27
Memphis	0.28	-0.19	0.47
Miami	0.69	-1.19	1.88
Miami (OH)	-0.41	0.2	-0.61
Michigan	0.07	-1.13	1.2
Michigan State	0.24	-0.84	1.08
Middle Tennessee	-0.71	0.06	-0.77
Minnesota	0.05	-0.26	0.31
Mississippi State	0.94	-1.01	1.95
Missouri	0.73	0.59	0.14
NC State	0.73	-0.64	1.37
Navy	0.7	0.49	0.21
Nebraska	0.16	0.44	-0.28
Nevada	-0.15	0.78	-0.93
New Mexico	-1.15	0.68	-1.83
New Mexico State	-0.34	0.6	-0.94
North Carolina	-0.12	-0.03	-0.09
North Texas	0.21	0.87	-0.66
Northern Illinois	-0.68	-0.69	0.01
Northwestern	0.18	-0.43	0.61
Notre Dame	1.19	-1.09	2.29
Ohio	0.31	0.13	0.18
Ohio State	1.52	-0.86	2.37
Oklahoma	2.21	-0.07	2.29
Oklahoma State	1.5	-0.63	2.13
Old Dominion	-0.96	0.48	-1.45
Ole Miss	0.32	0.68	-0.36
Oregon	0.05	-0.15	0.2
Oregon State	-0.3	1.04	-1.34
Penn State	0.96	-1.24	2.2
Pittsburgh	0.14	-0.27	0.41
Purdue	-0.17	-0.79	0.62
Rice	-1.05	1.73	-2.79
Rutgers	-0.26	-0.15	-0.11
SMU	0.55	0.37	0.18
San Diego State	-0.26	-0.29	0.03
San José State	-1.6	1.49	-3.09
South Alabama	-1.1	0.42	-1.52
South Carolina	-0.03	-0.5	0.48
South Florida	-0.07	-0.3	0.23
Southern Mississippi	-0.96	0.31	-1.27
Stanford	0.64	-0.1	0.74
Syracuse	0.54	-0.13	0.66
TCU	0.54	-1.13	1.67
Temple	-0.42	-0.17	-0.25
Tennessee	-0.42	-0.09	-0.33
Texas	-0.06	-1.28	1.22
Texas A&M	0.28	-0.23	0.5
Texas State	-1.49	0.92	-2.41
Texas Tech	0.67	-0.02	0.69
Toledo	0.44	0.42	0.02
Troy	-0.61	-0.3	-0.31
Tulane	-0.48	0.2	-0.68
Tulsa	0.06	1.14	-1.08
UAB	-0.32	0.47	-0.78
UCF	0.75	-0.86	1.61
UCLA	0.68	0.54	0.14
UMass	-0.33	0.25	-0.58
UNLV	-0.09	1.01	-1.1
USC	0.78	-0.5	1.28
UT San Antonio	-0.96	0.15	-1.11
UTEP	-1.67	1.12	-2.79
Utah	-0.38	-0.5	0.11
Utah State	-0.88	-0.03	-0.84
Vanderbilt	0.26	0.74	-0.48
Virginia	-0.16	-0.39	0.23
Virginia Tech	0.36	-1.05	1.41
Wake Forest	0.87	-0.32	1.19
Washington	0.62	-1.25	1.87
Washington State	0.05	-1.01	1.06
West Virginia	0.91	-0.49	1.4
Western Kentucky	-0.7	0.61	-1.31
Western Michigan	-0.28	0.23	-0.51
Wisconsin	0.64	-1.08	1.72
Wyoming	-0.71	-0.31	-0.4
