team	off_aPPD	def_aPPD	net_aPPD
Air Force	0.26	1.05	-0.79
Akron	-0.84	0.26	-1.1
Alabama	1.25	-1.22	2.47
Appalachian State	-0.35	0.17	-0.52
Arizona	0.92	0.48	0.44
Arizona State	0.54	-0.2	0.74
Arkansas	0.23	0.39	-0.16
Arkansas State	-0.62	0.11	-0.73
Army	1.03	0.59	0.44
Auburn	0.73	-1.53	2.26
BYU	-1.04	0.19	-1.24
Ball State	-1.04	1.47	-2.51
Baylor	0.08	0.11	-0.03
Boise State	0.29	-0.11	0.39
Boston College	0.09	-0.86	0.95
Bowling Green	-0.36	1.13	-1.5
Buffalo	-0.21	0.42	-0.62
California	0.01	-0.08	0.09
Central Michigan	-0.42	-0.15	-0.27
Charlotte	-1.6	0.93	-2.53
Cincinnati	-0.36	0.88	-1.24
Clemson	1.07	-1.63	2.7
Coastal Carolina	-0.51	1.14	-1.65
Colorado	-0.0	0.2	-0.2
Colorado State	0.24	0.85	-0.6
Connecticut	-0.65	0.77	-1.42
Duke	-0.03	-0.77	0.74
East Carolina	0.03	1.75	-1.72
Eastern Michigan	-0.62	-0.23	-0.39
Florida	-0.38	-0.34	-0.04
Florida Atlantic	0.78	0.4	0.37
Florida International	0.08	0.86	-0.78
Florida State	0.07	-1.05	1.12
Fresno State	-0.32	-0.21	-0.11
Georgia	1.41	-1.3	2.71
Georgia Southern	-0.8	0.8	-1.6
Georgia State	-1.4	0.3	-1.71
Georgia Tech	0.78	-0.36	1.14
Hawai'i	-0.51	1.47	-1.97
Houston	-0.08	-0.61	0.54
Illinois	-0.83	0.11	-0.94
Indiana	0.15	-0.5	0.66
Iowa	0.65	-1.07	1.72
Iowa State	0.59	-0.7	1.28
Kansas	-0.43	0.45	-0.88
Kansas State	0.22	-0.37	0.59
Kent State	-1.36	0.75	-2.11
Kentucky	0.12	0.37	-0.25
LSU	0.55	-0.33	0.88
Liberty	1.47	1.0	0.47
Louisiana	-0.66	1.6	-2.26
Louisiana Monroe	0.03	1.65	-1.62
Louisiana Tech	-0.32	0.46	-0.78
Louisville	1.43	-0.24	1.67
Marshall	-0.59	0.0	-0.59
Maryland	0.04	0.32	-0.29
Memphis	0.83	-0.1	0.93
Miami	0.43	-0.91	1.34
Miami (OH)	-0.45	0.17	-0.62
Michigan	-0.01	-1.07	1.06
Michigan State	0.11	-0.88	0.99
Middle Tennessee	-0.67	0.12	-0.79
Minnesota	-0.15	-0.11	-0.04
Mississippi State	0.44	-0.96	1.4
Missouri	0.69	0.33	0.35
NC State	0.71	-0.54	1.25
Navy	0.42	0.39	0.02
Nebraska	0.33	0.57	-0.24
Nevada	-0.17	0.66	-0.82
New Mexico	-1.01	0.85	-1.86
New Mexico State	-0.44	0.67	-1.11
North Carolina	-0.13	-0.01	-0.11
North Texas	0.02	0.76	-0.75
Northern Illinois	-0.69	-0.65	-0.04
Northwestern	0.23	-0.68	0.91
Notre Dame	1.04	-0.97	2.01
Ohio	0.13	0.24	-0.11
Ohio State	1.34	-0.97	2.32
Oklahoma	2.24	-0.26	2.5
Oklahoma State	1.44	-0.45	1.89
Old Dominion	-1.1	0.7	-1.8
Ole Miss	0.17	0.34	-0.17
Oregon	0.25	-0.36	0.61
Oregon State	-0.49	1.13	-1.63
Penn State	1.12	-1.15	2.27
Pittsburgh	0.17	-0.44	0.61
Purdue	0.02	-0.81	0.83
Rice	-1.17	1.38	-2.56
Rutgers	-0.37	-0.01	-0.36
SMU	0.74	0.67	0.07
San Diego State	-0.15	-0.31	0.16
San José State	-1.49	1.26	-2.75
South Alabama	-1.3	0.61	-1.91
South Carolina	-0.09	-0.48	0.38
South Florida	0.05	-0.32	0.37
Southern Mississippi	-0.65	0.22	-0.88
Stanford	0.83	-0.15	0.98
Syracuse	0.26	0.02	0.24
TCU	0.42	-1.14	1.56
Temple	-0.42	-0.17	-0.25
Tennessee	-0.48	-0.04	-0.44
Texas	-0.18	-1.29	1.11
Texas A&M	0.18	-0.24	0.42
Texas State	-1.37	1.02	-2.38
Texas Tech	0.61	-0.19	0.79
Toledo	0.54	0.38	0.17
Troy	-0.48	-0.24	-0.24
Tulane	-0.24	0.18	-0.41
Tulsa	-0.05	0.95	-1.0
UAB	-0.37	0.54	-0.92
UCF	0.97	-0.51	1.48
UCLA	0.6	0.24	0.36
UMass	-0.43	0.45	-0.88
UNLV	-0.13	1.09	-1.22
USC	0.75	-0.52	1.27
UT San Antonio	-1.07	0.08	-1.15
UTEP	-1.65	1.12	-2.77
Utah	0.03	-0.48	0.51
Utah State	-0.76	-0.09	-0.67
Vanderbilt	0.16	0.6	-0.44
Virginia	-0.14	-0.52	0.38
Virginia Tech	0.16	-1.11	1.26
Wake Forest	0.77	-0.35	1.12
Washington	0.86	-1.1	1.96
Washington State	-0.0	-0.99	0.99
West Virginia	0.83	-0.3	1.12
Western Kentucky	-0.71	0.65	-1.36
Western Michigan	-0.38	0.37	-0.74
Wisconsin	0.7	-1.36	2.06
Wyoming	-1.04	-0.29	-0.74
