team	off_aPPD	def_aPPD	net_aPPD
Air Force	0.21	0.31	-0.1
Akron	-0.89	-0.36	-0.53
Alabama	2.07	-1.82	3.89
Appalachian State	-0.38	-0.47	0.08
Arizona	0.03	-0.05	0.09
Arizona State	0.67	0.02	0.65
Arkansas	-0.01	-0.17	0.16
Arkansas State	-0.33	0.25	-0.58
Army	0.87	-0.1	0.97
Auburn	0.27	-1.05	1.32
BYU	-0.05	0.01	-0.07
Ball State	-0.65	0.76	-1.41
Baylor	0.28	0.18	0.1
Boise State	0.57	-0.27	0.84
Boston College	-0.04	-0.85	0.81
Bowling Green	-0.57	1.25	-1.82
Buffalo	0.47	-0.04	0.5
California	-1.06	-0.97	-0.09
Central Michigan	-0.86	0.11	-0.97
Charlotte	-0.9	0.49	-1.4
Cincinnati	-0.08	-0.6	0.52
Clemson	0.81	-1.69	2.5
Coastal Carolina	-0.3	1.13	-1.43
Colorado	-0.12	-0.0	-0.11
Colorado State	-0.43	0.82	-1.25
Connecticut	-0.56	2.46	-3.02
Duke	0.01	-0.33	0.33
East Carolina	-1.01	0.22	-1.22
Eastern Michigan	-0.26	-0.25	-0.01
Florida	0.9	-0.98	1.89
Florida Atlantic	-0.27	0.27	-0.54
Florida International	0.12	0.72	-0.6
Florida State	-0.3	-0.25	-0.05
Fresno State	0.48	-0.84	1.32
Georgia	1.85	-1.38	3.23
Georgia Southern	-0.21	0.65	-0.86
Georgia State	-0.58	1.6	-2.18
Georgia Tech	0.89	0.51	0.37
Hawai'i	0.13	1.1	-0.97
Houston	0.5	0.57	-0.07
Illinois	0.18	1.02	-0.84
Indiana	0.39	0.32	0.07
Iowa	0.46	-0.92	1.38
Iowa State	0.27	-1.05	1.32
Kansas	-0.38	-0.13	-0.24
Kansas State	0.04	-0.11	0.15
Kent State	-0.82	0.72	-1.53
Kentucky	-0.02	-1.48	1.46
LSU	0.52	-1.27	1.79
Liberty	-0.3	0.9	-1.19
Louisiana	0.52	1.54	-1.02
Louisiana Monroe	-0.29	0.84	-1.13
Louisiana Tech	-0.59	0.27	-0.87
Louisville	-0.52	1.17	-1.69
Marshall	-0.95	-0.05	-0.9
Maryland	-0.03	-0.64	0.61
Memphis	0.5	0.78	-0.28
Miami	-0.03	-1.0	0.97
Miami (OH)	0.22	0.16	0.06
Michigan	0.96	-1.41	2.37
Michigan State	-0.18	-1.23	1.04
Middle Tennessee	-0.62	0.2	-0.82
Minnesota	-0.01	-0.08	0.07
Mississippi State	0.79	-1.43	2.22
Missouri	1.03	-0.94	1.98
NC State	0.79	0.1	0.69
Navy	-0.41	1.01	-1.42
Nebraska	0.12	0.19	-0.08
Nevada	-0.48	-0.38	-0.1
New Mexico	-0.77	0.15	-0.92
New Mexico State	-1.15	0.96	-2.12
North Carolina	-0.4	0.34	-0.74
North Texas	-0.01	-0.1	0.09
Northern Illinois	-0.66	-0.58	-0.08
Northwestern	-0.13	-0.7	0.57
Notre Dame	0.91	-0.88	1.79
Ohio	0.71	0.4	0.31
Ohio State	0.73	-0.42	1.15
Oklahoma	2.17	0.05	2.12
Oklahoma State	0.7	0.13	0.57
Old Dominion	-0.32	1.3	-1.62
Ole Miss	1.05	0.13	0.92
Oregon	0.22	-0.07	0.29
Oregon State	0.05	1.64	-1.58
Penn State	0.28	-0.8	1.08
Pittsburgh	0.37	-0.02	0.39
Purdue	0.73	-0.25	0.98
Rice	-1.42	1.3	-2.72
Rutgers	-0.94	0.44	-1.38
SMU	-0.74	0.36	-1.09
San Diego State	-0.46	-0.56	0.1
San José State	-1.1	0.27	-1.37
South Alabama	-0.92	1.35	-2.27
South Carolina	1.08	-0.42	1.5
South Florida	-0.38	0.31	-0.69
Southern Mississippi	-0.95	-0.36	-0.59
Stanford	0.57	-0.25	0.83
Syracuse	0.07	-0.02	0.09
TCU	-0.45	-0.8	0.35
Temple	0.27	-0.45	0.72
Tennessee	0.35	-0.56	0.91
Texas	0.96	-0.16	1.12
Texas A&M	0.72	-0.68	1.4
Texas State	-1.72	0.53	-2.25
Texas Tech	0.64	-0.24	0.89
Toledo	0.08	0.7	-0.62
Troy	-0.5	-0.17	-0.33
Tulane	-0.71	-0.18	-0.54
Tulsa	-0.94	0.04	-0.98
UAB	-0.11	-0.21	0.1
UCF	1.14	-0.08	1.21
UCLA	0.05	0.23	-0.18
UMass	-0.66	1.03	-1.69
UNLV	-0.11	1.09	-1.2
USC	-0.2	-0.51	0.31
UT San Antonio	-1.57	0.95	-2.52
UTEP	-1.21	0.8	-2.01
Utah	0.44	-0.68	1.12
Utah State	0.72	-0.61	1.33
Vanderbilt	0.73	-0.17	0.9
Virginia	-0.12	-0.21	0.09
Virginia Tech	-0.11	0.37	-0.48
Wake Forest	0.26	0.28	-0.02
Washington	0.56	-0.69	1.26
Washington State	1.21	0.02	1.19
West Virginia	1.38	-0.51	1.88
Western Kentucky	-1.16	0.84	-1.99
Western Michigan	0.05	0.53	-0.48
Wisconsin	0.37	-0.44	0.81
Wyoming	-0.7	-0.48	-0.22
