team	OPRE	DPRE	off_aPPD	def_aPPD	net_aPPD	AP
Air Force	0.15835596289484233	0.2521028462550995	0.06750656012116976	0.42876290887838975	-0.36125634875722	NR
Akron	-0.8584269306278042	-0.5430895813041272	-0.7381937847914506	-0.25463607086127826	-0.48355771393017233	NR
Alabama	1.6838234432568413	-1.2378657868002128	1.7010564052063495	-1.647095093208107	3.3481514984144565	NR
Appalachian State	0.08568765024294471	-0.8548232293943006	-0.5092816155888517	-0.7244760377074876	0.21519442211863593	NR
Arizona	0.042117852003442306	0.003207201023435527	0.038807218519662755	0.07928041290870404	-0.04047319438904128	NR
Arizona State	0.597572725205578	-0.1005430794902783	0.7211609040077371	0.035740901149592025	0.6854200028581451	NR
Arkansas	-0.4147501866884811	0.18517351111468727	-0.03873239222096089	-0.1800362404240997	0.14130384820313882	NR
Arkansas State	-0.03489289467840525	0.29168410856457816	-0.468295311356395	0.3151667539437781	-0.7834620653001731	NR
Army	1.1674644270126318	-0.10221235114441941	0.8378138875793815	-0.18424349760311728	1.0220573851824988	NR
Auburn	-0.366120975122703	-0.677154301102445	0.13791173794268058	-1.0811534954639044	1.219065233406585	NR
BYU	-0.29870428177852343	0.05032573983153238	-0.07086985649105863	0.05864359517542206	-0.1295134516664807	NR
Ball State	-0.49466957214974094	0.5396334190068633	-0.6468465308835399	0.6568394507867368	-1.3036859816702768	NR
Baylor	0.16082811691124752	0.5177925544923411	0.19275839288357116	0.043828949762544034	0.14892944312102713	NR
Boise State	0.6729770421983962	-0.4547632748651188	0.5559003956600965	-0.0815770390175424	0.637477434677639	NR
Boston College	0.19728103293816285	-0.6197950100316519	0.11202948932184531	-0.6902914932069466	0.8023209825287919	NR
Bowling Green	-0.26824662908411634	1.461213004614186	-0.5689295329354673	1.3942271486447222	-1.9631566815801895	NR
Buffalo	0.3852165005168478	-0.1850923578403294	0.3164590582707139	0.04862963448541583	0.26782942378529806	NR
California	-0.8937228686255287	-0.8072387709948168	-1.1545585133681715	-0.9257709534435751	-0.22878755992459643	NR
Central Michigan	-0.986848640699988	-0.18342517315771514	-0.6617471310801722	0.040725807629531735	-0.702472938709704	NR
Charlotte	-0.701328092613401	-0.18276261427547003	-0.9345991864439854	0.36182360421617754	-1.2964227906601629	NR
Cincinnati	0.27450251955027133	-0.9108099708121463	-0.07414773756388895	-0.7436537045234215	0.6695059669595326	NR
Clemson	1.1286514639960925	-1.166055594027734	0.9557568249602051	-1.4136701093465636	2.3694269343067687	NR
Coastal Carolina	0.3246639349431564	0.8131380849298951	-0.011089174911785519	0.9614195995174761	-0.9725087744292616	NR
Colorado	0.20270853972324052	0.09839663192264927	-0.012598883480958903	0.04913995028377785	-0.06173883376473675	NR
Colorado State	-0.3465079143807545	0.20375025945959271	-0.3135817717523169	0.5078431049686913	-0.8214248767210082	NR
Connecticut	-0.6618945055223743	2.020227575912521	-0.8161089874512748	2.018945250314986	-2.835054237766261	NR
Duke	-0.1885258038998351	-0.2110183809217158	0.03901472137551026	-0.37598150140623937	0.41499622278174964	NR
East Carolina	-0.6245606185876929	0.4457212564054865	-0.8545539829337224	0.20073013240719872	-1.0552841153409211	NR
Eastern Michigan	-0.16849136601685358	0.02863274723137741	-0.13848119836633407	0.04100081395782415	-0.17948201232415822	NR
Florida	-0.027555459921360125	-0.5046741994485289	0.7571517446577761	-1.1603360065129587	1.9174877511707349	NR
Florida Atlantic	0.04409990788527273	0.3536868471754813	-0.32350254377587917	0.2763170437319962	-0.5998195875078753	NR
Florida International	0.6628757216445551	0.3444051615741381	0.18714778245611355	0.8858397779580144	-0.6986919955019009	NR
Florida State	-0.5137755230903177	-0.39360491021393745	-0.3087610260218723	-0.46562296395335734	0.15686193793148506	NR
Fresno State	0.5987826623382719	-0.964845248053581	0.2127450873456867	-0.7466681214923212	0.9594132088380078	NR
Georgia	1.0276038638830347	-0.7094157819648237	1.8060849512379538	-1.2396320846459032	3.045717035883857	NR
Georgia Southern	0.06025722422153843	-0.005641674928296649	-0.03665157311887026	0.5470930116384601	-0.5837445847573304	NR
Georgia State	0.14831089316623985	1.1375711938912647	-0.25095098540441074	1.402779264494239	-1.6537302498986497	NR
Georgia Tech	1.0132185818167443	0.34389405196406564	0.8625578564747256	0.43276004404806073	0.42979781242666487	NR
Hawai'i	0.2872501051334403	0.7533884606489137	0.21276849235309434	1.1394781301856023	-0.9267096378325079	NR
Houston	0.8194023134647807	-0.009283541870143073	0.5561544166750457	0.4730581901546856	0.08309622652036014	NR
Illinois	0.058376216489107166	0.9703838430627597	0.07843337890681508	1.0341138438182562	-0.9556804649114411	NR
Indiana	-0.03159203754545257	0.3059820091512734	0.1966637978044842	0.2450959202078695	-0.04843212240338529	NR
Iowa	0.236121840684574	-0.7409363440680858	0.6177326698284568	-0.8896899034521853	1.507422573280642	NR
Iowa State	-0.16510222067410607	-0.515526939969023	0.16199078657969973	-1.1184442371668175	1.2804350237465172	NR
Kansas	-0.4122066453692793	0.004765853956517464	-0.2834802893492376	-0.0421742505596133	-0.24130603878962428	NR
Kansas State	-0.25195913811922943	0.27005562987903353	-0.05106660268927576	-0.2572715315422924	0.2062049288530166	NR
Kent State	-0.4050172419137794	0.7087962782446116	-0.8350507190473883	0.6830365860472861	-1.5180873050946744	NR
Kentucky	-0.46894500354922125	-0.8972090939192751	0.2532221438481224	-1.6712888107602581	1.9245109546083805	NR
LSU	-0.23580391416979787	-0.48420597730139575	0.6838877792439909	-1.2076179283452673	1.8915057075892583	NR
Liberty	0.08375529481438726	0.31465894577047243	-0.3600079597706704	0.7120453082437337	-1.0720532680144041	NR
Louisiana	0.5563352845223546	1.3554989579112349	0.7681131870878183	1.6213717691355756	-0.8532585820477573	NR
Louisiana Monroe	-0.280779491566623	0.5643234360496397	-0.6301378190226335	0.7786863658246074	-1.408824184847241	NR
Louisiana Tech	-0.41956467385063445	-0.10873324732751917	-0.39240296327801644	0.11166679495847319	-0.5040697582364896	NR
Louisville	-0.8698683618126544	1.375203347912026	-0.4567032316011766	1.1100072991046817	-1.5667105307058582	NR
Marshall	-0.524109903628886	-0.4454062906493942	-0.9923448675024857	-0.045157526230568075	-0.9471873412719176	NR
Maryland	-0.14312431313981885	-0.46416991538723257	-0.06990177267696322	-0.5365390955161911	0.4666373228392278	NR
Memphis	0.9456782717004754	0.4928323653621687	0.4019151030457198	0.6200108217301669	-0.21809571868444705	NR
Miami	-0.2058513992020376	-1.0068594091893108	-0.014972245349398092	-1.0710336110977865	1.0560613657483884	NR
Miami (OH)	0.36548907400500935	0.15904656088770774	0.06555988990082223	0.44879873686732835	-0.3832388469665061	NR
Michigan	0.6576891474643264	-1.324102763449734	1.053421244995861	-1.4663657877847966	2.5197870327806577	NR
Michigan State	-0.4366595886902292	-0.8112283171658496	0.04145260261664818	-1.147359461853207	1.1888120644698552	NR
Middle Tennessee	-0.3679227302726755	-0.12914742558775177	-0.6685815748868934	0.17862615469591062	-0.847207729582804	NR
Minnesota	-0.10427868929237617	0.3841187263875983	-0.16510772301438886	0.30413959733555934	-0.4692473203499482	NR
Mississippi State	0.43301956613995934	-1.0587553627236508	1.0030203144801761	-1.4465770292512192	2.449597343731395	NR
Missouri	0.1648297666263722	-0.17352336692027068	0.9768082859691667	-0.9418874479867052	1.918695733955872	NR
NC State	0.7911342798518172	-0.004901412096772073	1.0230954812504216	0.0677335830051972	0.9553618982452244	NR
Navy	-0.25813065975165916	1.0872676618607753	-0.3657590260776576	0.9121471087849535	-1.277906134862611	NR
Nebraska	-0.17866148659851422	0.4478541371700968	0.18421821547208103	0.12075676497960139	0.06346145049247964	NR
