team	off_aPPD	def_aPPD	net_aPPD
Air Force	0.34	1.06	-0.72
Akron	-0.7	0.15	-0.86
Alabama	1.21	-1.01	2.23
Appalachian State	-0.24	0.11	-0.35
Arizona	0.89	0.49	0.4
Arizona State	0.44	-0.06	0.5
Arkansas	0.29	0.5	-0.2
Arkansas State	-0.56	-0.05	-0.51
Army	0.81	0.58	0.23
Auburn	0.76	-1.35	2.12
BYU	-0.95	0.31	-1.26
Ball State	-1.33	1.3	-2.63
Baylor	0.03	0.08	-0.05
Boise State	0.24	-0.09	0.33
Boston College	0.01	-0.84	0.86
Bowling Green	-0.34	0.99	-1.33
Buffalo	-0.12	0.45	-0.58
California	-0.05	-0.16	0.11
Central Michigan	-0.34	-0.16	-0.18
Charlotte	-1.52	0.86	-2.37
Cincinnati	-0.49	0.79	-1.29
Clemson	0.94	-1.41	2.35
Coastal Carolina	-0.52	1.06	-1.58
Colorado	-0.09	0.19	-0.28
Colorado State	0.34	0.81	-0.47
Connecticut	-0.32	0.81	-1.13
Duke	0.0	-0.69	0.69
East Carolina	0.02	1.54	-1.53
Eastern Michigan	-0.64	-0.23	-0.41
Florida	-0.3	-0.25	-0.06
Florida Atlantic	0.79	0.38	0.41
Florida International	0.02	0.89	-0.87
Florida State	0.01	-1.01	1.02
Fresno State	-0.26	-0.29	0.03
Georgia	1.36	-1.14	2.51
Georgia Southern	-0.79	0.64	-1.42
Georgia State	-1.32	0.26	-1.58
Georgia Tech	0.75	-0.24	0.99
Hawai'i	-0.48	1.31	-1.79
Houston	-0.22	-0.52	0.3
Illinois	-0.64	0.15	-0.79
Indiana	0.06	-0.5	0.56
Iowa	0.68	-1.13	1.82
Iowa State	0.57	-0.69	1.25
Kansas	-0.53	0.37	-0.9
Kansas State	0.19	-0.27	0.46
Kent State	-1.39	0.56	-1.95
Kentucky	-0.0	0.46	-0.47
LSU	0.45	-0.32	0.78
Liberty	1.51	1.08	0.44
Louisiana	-0.52	1.56	-2.08
Louisiana Monroe	0.13	1.61	-1.48
Louisiana Tech	-0.09	0.46	-0.55
Louisville	1.42	-0.11	1.53
Marshall	-0.5	0.01	-0.51
Maryland	-0.01	0.35	-0.36
Memphis	0.84	-0.03	0.87
Miami	0.42	-0.89	1.31
Miami (OH)	-0.43	0.15	-0.58
Michigan	-0.05	-1.0	0.96
Michigan State	0.06	-0.88	0.94
Middle Tennessee	-0.62	0.12	-0.75
Minnesota	-0.06	-0.25	0.19
Mississippi State	0.2	-1.03	1.23
Missouri	0.6	0.16	0.44
NC State	0.65	-0.53	1.18
Navy	0.38	0.43	-0.05
Nebraska	0.32	0.51	-0.19
Nevada	-0.18	0.52	-0.7
New Mexico	-0.93	0.78	-1.71
New Mexico State	-0.33	0.63	-0.96
North Carolina	-0.13	0.06	-0.2
North Texas	0.19	0.71	-0.52
Northern Illinois	-0.68	-0.64	-0.03
Northwestern	0.36	-0.73	1.09
Notre Dame	1.03	-0.93	1.96
Ohio	0.2	0.16	0.04
Ohio State	1.32	-0.9	2.22
Oklahoma	2.12	-0.24	2.36
Oklahoma State	1.45	-0.37	1.82
Old Dominion	-0.98	0.64	-1.61
Ole Miss	0.22	0.52	-0.3
Oregon	0.26	-0.31	0.57
Oregon State	-0.35	1.21	-1.56
Penn State	1.21	-1.02	2.23
Pittsburgh	0.18	-0.42	0.6
Purdue	-0.01	-0.84	0.83
Rice	-0.98	1.28	-2.26
Rutgers	-0.43	0.12	-0.55
SMU	0.67	0.74	-0.07
San Diego State	-0.14	-0.4	0.25
San José State	-1.32	1.2	-2.52
South Alabama	-1.11	0.55	-1.66
South Carolina	-0.08	-0.42	0.34
South Florida	0.08	-0.19	0.27
Southern Mississippi	-0.52	0.17	-0.69
Stanford	0.89	-0.11	1.01
Syracuse	0.2	0.06	0.14
TCU	0.3	-1.2	1.5
Temple	-0.41	-0.18	-0.23
Tennessee	-0.55	0.09	-0.64
Texas	-0.11	-1.18	1.07
Texas A&M	0.04	-0.31	0.35
Texas State	-1.34	0.88	-2.22
Texas Tech	0.55	-0.17	0.71
Toledo	0.51	0.49	0.02
Troy	-0.43	-0.21	-0.22
Tulane	-0.2	0.36	-0.56
Tulsa	-0.08	0.79	-0.88
UAB	-0.28	0.49	-0.77
UCF	0.8	-0.47	1.27
UCLA	0.58	0.32	0.26
UMass	-0.3	0.43	-0.73
UNLV	-0.13	0.98	-1.11
USC	0.67	-0.54	1.21
UT San Antonio	-0.96	-0.01	-0.95
UTEP	-1.65	0.89	-2.55
Utah	0.08	-0.42	0.49
Utah State	-0.88	-0.19	-0.69
Vanderbilt	0.0	0.63	-0.62
Virginia	-0.28	-0.49	0.22
Virginia Tech	0.11	-1.12	1.23
Wake Forest	0.82	-0.35	1.17
Washington	0.66	-0.98	1.64
Washington State	-0.03	-0.94	0.91
West Virginia	0.74	-0.27	1.01
Western Kentucky	-0.72	0.58	-1.29
Western Michigan	-0.43	0.41	-0.84
Wisconsin	0.8	-1.38	2.18
Wyoming	-1.09	-0.3	-0.78
