team	off_aPPD	def_aPPD	net_aPPD
Air Force	1.2	1.3	-0.09
Akron	-0.76	0.45	-1.21
Alabama	1.43	-1.24	2.67
Appalachian State	-0.39	0.07	-0.46
Arizona	0.64	0.51	0.13
Arizona State	0.86	0.12	0.74
Arkansas	0.37	0.49	-0.12
Arkansas State	0.35	0.44	-0.09
Army	0.94	0.46	0.48
Auburn	0.95	-1.53	2.48
BYU	-1.0	0.12	-1.12
Ball State	-1.14	1.25	-2.39
Baylor	0.08	-0.31	0.39
Boise State	0.05	-0.64	0.69
Boston College	-0.52	-0.55	0.03
Bowling Green	-0.84	1.07	-1.91
Buffalo	0.02	0.27	-0.25
California	-0.41	-0.43	0.02
Central Michigan	-0.83	0.12	-0.96
Charlotte	-1.59	1.1	-2.69
Cincinnati	0.23	0.99	-0.76
Clemson	1.31	-1.62	2.92
Coastal Carolina	-0.73	1.2	-1.94
Colorado	0.14	-0.12	0.26
Colorado State	0.01	0.1	-0.09
Connecticut	-0.33	1.67	-2.0
Duke	-0.25	-1.26	1.01
East Carolina	-0.0	2.17	-2.18
Eastern Michigan	-1.57	-0.72	-0.85
Florida	0.09	-0.41	0.49
Florida Atlantic	0.53	0.59	-0.05
Florida International	-0.51	1.47	-1.97
Florida State	-0.04	-1.45	1.4
Fresno State	-0.43	0.51	-0.93
Georgia	1.2	-1.81	3.01
Georgia Southern	-0.65	-0.52	-0.13
Georgia State	-2.04	0.88	-2.92
Georgia Tech	0.75	-0.62	1.37
Hawai'i	-0.12	2.24	-2.36
Houston	0.01	-0.66	0.67
Illinois	-0.98	1.04	-2.02
Indiana	0.93	-0.95	1.89
Iowa	0.53	-0.76	1.28
Iowa State	0.8	0.02	0.78
Kansas	-0.05	1.52	-1.57
Kansas State	0.51	-0.41	0.92
Kent State	-1.19	0.74	-1.93
Kentucky	0.1	0.32	-0.22
LSU	0.18	0.24	-0.06
Liberty	1.94	1.04	0.9
Louisiana	-0.29	1.79	-2.08
Louisiana Monroe	-0.3	1.15	-1.44
Louisiana Tech	-0.5	0.95	-1.45
Louisville	0.9	-0.25	1.16
Marshall	-0.71	-0.34	-0.37
Maryland	0.44	0.2	0.24
Memphis	0.03	-0.08	0.11
Miami	1.0	-0.66	1.66
Miami (OH)	-0.49	0.39	-0.88
Michigan	-0.47	-1.87	1.4
Michigan State	-0.1	-1.16	1.06
Middle Tennessee	-0.69	0.3	-0.99
Minnesota	-0.22	-0.55	0.32
Mississippi State	0.71	-0.69	1.4
Missouri	-0.02	1.1	-1.12
NC State	1.36	0.06	1.3
Navy	0.51	0.3	0.21
Nebraska	-0.24	-0.26	0.02
Nevada	-1.05	0.77	-1.82
New Mexico	-0.49	-0.22	-0.27
New Mexico State	-0.21	0.13	-0.35
North Carolina	0.09	0.33	-0.25
North Texas	0.32	0.84	-0.52
Northern Illinois	-0.43	-0.57	0.14
Northwestern	0.23	0.16	0.07
Notre Dame	1.21	-0.9	2.11
Ohio	0.1	0.88	-0.78
Ohio State	1.29	-1.7	3.0
Oklahoma	2.08	-0.2	2.28
Oklahoma State	1.42	-0.92	2.33
Old Dominion	-1.2	0.72	-1.92
Ole Miss	-0.11	0.76	-0.88
Oregon	0.55	-0.23	0.78
Oregon State	-0.43	1.32	-1.75
Penn State	0.4	-1.58	1.98
Pittsburgh	0.05	0.26	-0.21
Purdue	0.24	-0.7	0.94
Rice	-1.66	1.13	-2.78
Rutgers	-0.29	0.1	-0.39
SMU	0.56	0.15	0.41
San Diego State	-0.33	-1.14	0.82
San José State	-1.25	1.11	-2.36
South Alabama	-1.63	1.31	-2.94
South Carolina	-0.56	-0.68	0.12
South Florida	-0.47	-0.32	-0.15
Southern Mississippi	-0.72	-0.24	-0.48
Stanford	1.09	0.3	0.8
Syracuse	-0.21	-0.03	-0.18
TCU	1.13	-0.61	1.74
Temple	-0.55	-0.17	-0.38
Tennessee	-0.18	-0.23	0.06
Texas	0.27	-1.24	1.51
Texas A&M	0.09	-0.29	0.38
Texas State	-1.38	1.1	-2.48
Texas Tech	0.76	-0.41	1.17
Toledo	0.2	1.38	-1.18
Troy	-0.39	-0.35	-0.04
Tulane	0.46	-0.4	0.86
Tulsa	0.17	1.25	-1.08
UAB	-0.32	1.08	-1.4
UCF	1.31	-0.52	1.84
UCLA	0.87	0.48	0.39
UMass	-0.55	0.74	-1.29
UNLV	1.1	0.8	0.3
USC	0.71	-0.63	1.34
UT San Antonio	0.66	0.2	0.46
UTEP	-1.33	1.69	-3.02
Utah	-0.54	-0.57	0.03
Utah State	-0.92	-0.1	-0.82
Vanderbilt	0.39	0.3	0.09
Virginia	0.71	-1.1	1.81
Virginia Tech	0.37	-0.66	1.03
Wake Forest	0.36	-0.62	0.98
Washington	0.78	-1.24	2.03
Washington State	0.64	-1.08	1.72
West Virginia	0.67	-0.41	1.08
Western Kentucky	-1.94	0.56	-2.5
Western Michigan	0.29	0.52	-0.22
Wisconsin	0.5	-0.98	1.49
Wyoming	-1.32	-0.12	-1.2
