team	off_aPPD	def_aPPD	net_aPPD
Air Force	-0.39	0.04	-0.44
Akron	-0.8	-0.63	-0.17
Alabama	1.67	-1.54	3.21
Appalachian State	0.58	-0.64	1.23
Arizona	-0.34	0.41	-0.75
Arizona State	0.85	0.27	0.58
Arkansas	0.04	-0.13	0.17
Arkansas State	-0.63	-0.03	-0.6
Army	1.1	-0.36	1.46
Auburn	-0.15	-1.2	1.05
BYU	-0.09	0.36	-0.45
Ball State	-0.23	0.57	-0.8
Baylor	0.63	0.2	0.43
Boise State	0.42	-0.15	0.57
Boston College	0.05	-0.61	0.66
Bowling Green	-0.62	1.04	-1.66
Buffalo	0.54	0.2	0.35
California	-1.78	-0.32	-1.45
Central Michigan	-0.2	0.03	-0.23
Charlotte	-0.85	1.03	-1.89
Cincinnati	-0.34	-0.67	0.33
Clemson	0.86	-1.37	2.23
Coastal Carolina	0.23	1.65	-1.42
Colorado	0.43	-0.25	0.68
Colorado State	-0.19	0.35	-0.54
Connecticut	-0.8	2.49	-3.29
Duke	-0.2	-1.09	0.89
East Carolina	-1.06	0.18	-1.24
Eastern Michigan	-0.43	-0.24	-0.19
Florida	0.71	-1.43	2.14
Florida Atlantic	-0.34	0.72	-1.06
Florida International	0.06	0.4	-0.34
Florida State	-0.48	-0.43	-0.05
Fresno State	-0.07	-0.61	0.54
Georgia	1.51	-1.34	2.86
Georgia Southern	-0.25	0.41	-0.66
Georgia State	-0.45	0.95	-1.4
Georgia Tech	1.12	0.51	0.61
Hawai'i	0.48	1.15	-0.67
Houston	0.44	0.43	0.01
Illinois	-0.34	0.95	-1.29
Indiana	0.27	0.1	0.17
Iowa	0.93	-0.97	1.9
Iowa State	0.48	-0.82	1.3
Kansas	-0.36	-0.51	0.15
Kansas State	0.16	-0.4	0.56
Kent State	-0.89	0.9	-1.79
Kentucky	0.47	-1.6	2.07
LSU	1.07	-0.92	2.0
Liberty	-0.03	0.51	-0.54
Louisiana	1.02	1.99	-0.97
Louisiana Monroe	-0.85	1.04	-1.89
Louisiana Tech	-0.22	-0.03	-0.2
Louisville	-0.49	0.78	-1.27
Marshall	-0.63	0.26	-0.89
Maryland	0.11	-0.64	0.76
Memphis	0.14	0.27	-0.13
Miami	-0.19	-1.14	0.95
Miami (OH)	-0.02	0.24	-0.27
Michigan	0.93	-1.3	2.23
Michigan State	0.02	-0.99	1.01
Middle Tennessee	-0.65	0.65	-1.3
Minnesota	0.08	-0.34	0.42
Mississippi State	0.99	-1.32	2.31
Missouri	0.72	-0.59	1.3
NC State	0.85	-0.51	1.35
Navy	-0.45	0.64	-1.09
Nebraska	-0.28	0.22	-0.5
Nevada	-1.17	-0.1	-1.07
New Mexico	-0.39	-0.15	-0.24
New Mexico State	-1.16	0.53	-1.68
North Carolina	-0.6	1.19	-1.79
North Texas	0.09	-0.56	0.64
Northern Illinois	-0.74	-0.49	-0.26
Northwestern	0.07	-0.41	0.48
Notre Dame	0.51	-0.87	1.37
Ohio	0.58	1.25	-0.67
Ohio State	1.41	-0.53	1.94
Oklahoma	1.97	0.03	1.94
Oklahoma State	0.61	0.05	0.56
Old Dominion	-0.39	1.4	-1.78
Ole Miss	0.9	0.2	0.7
Oregon	0.41	0.15	0.25
Oregon State	-0.2	1.9	-2.09
Penn State	0.91	-0.83	1.75
Pittsburgh	-0.47	-0.1	-0.37
Purdue	0.61	-0.19	0.8
Rice	-1.55	0.98	-2.53
Rutgers	-1.08	0.37	-1.45
SMU	-0.58	0.71	-1.29
San Diego State	-0.47	-0.94	0.47
San José State	-1.64	-0.08	-1.56
South Alabama	-0.57	0.99	-1.56
South Carolina	0.73	-0.78	1.51
South Florida	-0.37	0.29	-0.66
Southern Mississippi	-0.52	0.12	-0.65
Stanford	0.54	0.06	0.48
Syracuse	-0.18	-0.06	-0.11
TCU	-0.6	-1.37	0.77
Temple	-0.04	-0.66	0.62
Tennessee	0.42	-0.09	0.52
Texas	0.72	-0.45	1.17
Texas A&M	0.96	-0.74	1.7
Texas State	-1.85	0.21	-2.06
Texas Tech	0.78	-0.04	0.81
Toledo	0.52	1.47	-0.96
Troy	-0.65	0.05	-0.7
Tulane	-0.32	0.23	-0.55
Tulsa	-0.77	0.02	-0.79
UAB	-0.57	-0.27	-0.3
UCF	1.12	0.14	0.98
UCLA	0.15	0.37	-0.22
UMass	-0.43	1.54	-1.97
UNLV	-0.17	0.95	-1.12
USC	-0.27	-0.62	0.35
UT San Antonio	-1.24	0.59	-1.84
UTEP	-0.91	0.92	-1.83
Utah	0.09	-0.95	1.04
Utah State	0.69	-0.28	0.97
Vanderbilt	0.69	-0.07	0.76
Virginia	-0.01	-0.41	0.4
Virginia Tech	-0.29	0.06	-0.35
Wake Forest	0.01	0.5	-0.48
Washington	0.8	-0.57	1.37
Washington State	1.32	0.32	1.0
West Virginia	0.95	-0.61	1.56
Western Kentucky	-1.19	0.38	-1.57
Western Michigan	0.61	0.77	-0.15
Wisconsin	0.89	-0.04	0.93
Wyoming	-0.86	-0.17	-0.69
