team	off_aPPD	def_aPPD	net_aPPD
Air Force	-1.93	2.1	-4.02
Akron	0.96	-0.99	1.94
Alabama	2.27	-1.47	3.74
Appalachian State	-0.23	-1.32	1.09
Arizona	0.26	0.42	-0.16
Arizona State	0.14	-1.28	1.42
Arkansas	-0.9	-0.04	-0.86
Arkansas State	-0.44	-0.47	0.03
Army	0.51	0.05	0.47
Auburn	0.61	-3.04	3.65
BYU	0.92	-0.55	1.47
Ball State	-1.04	-1.05	0.01
Baylor	0.07	-0.85	0.92
Boise State	1.5	-0.02	1.52
Boston College	-0.82	0.66	-1.48
Bowling Green	-0.76	1.4	-2.15
Buffalo	2.94	1.15	1.79
California	-0.23	-2.09	1.87
Central Michigan	-1.48	-1.73	0.25
Charlotte	-0.97	1.99	-2.96
Cincinnati	-1.18	-0.52	-0.66
Clemson	-0.24	-1.13	0.9
Coastal Carolina	0.75	2.25	-1.5
Colorado	-0.18	-0.37	0.19
Colorado State	0.04	1.27	-1.23
Connecticut	-1.05	2.23	-3.28
Duke	0.92	-0.8	1.72
East Carolina	2.34	-1.26	3.61
Eastern Michigan	-0.8	-1.83	1.03
Florida	-0.71	-1.9	1.19
Florida Atlantic	-1.44	1.74	-3.18
Florida International	-0.33	0.61	-0.94
Florida State	-3.21	0.42	-3.63
Fresno State	0.1	-0.74	0.84
Georgia	1.97	-1.55	3.52
Georgia Southern	-0.59	1.39	-1.98
Georgia State	0.23	4.75	-4.53
Georgia Tech	1.72	2.18	-0.46
Hawai'i	0.51	0.76	-0.25
Houston	0.31	-0.19	0.5
Illinois	-0.02	1.48	-1.5
Indiana	1.59	-0.07	1.66
Iowa	-0.83	-2.5	1.67
Iowa State	1.02	-0.01	1.03
Kansas	0.98	-0.32	1.3
Kansas State	0.03	-1.01	1.04
Kent State	-1.36	-0.04	-1.33
Kentucky	2.01	0.32	1.69
LSU	2.57	-0.77	3.34
Liberty	-0.2	0.1	-0.3
Louisiana	0.64	0.83	-0.19
Louisiana Monroe	-1.91	1.49	-3.39
Louisiana Tech	0.61	0.03	0.58
Louisville	0.1	-0.42	0.51
Marshall	2.75	1.26	1.49
Maryland	0.04	-0.0	0.05
Memphis	-2.78	-0.47	-2.31
Miami	-0.2	-2.49	2.29
Miami (OH)	-0.88	-1.63	0.75
Michigan	-0.29	-0.4	0.11
Michigan State	0.74	-0.5	1.24
Middle Tennessee	-0.67	1.18	-1.85
Minnesota	1.03	-0.59	1.62
Mississippi State	2.74	-1.48	4.21
Missouri	0.9	-0.67	1.58
NC State	-3.42	-1.31	-2.11
Navy	0.23	2.48	-2.25
Nebraska	0.15	0.6	-0.45
Nevada	-0.38	0.81	-1.18
New Mexico	-0.07	-0.19	0.13
New Mexico State	-1.72	-0.16	-1.56
North Carolina	1.03	-0.88	1.9
North Texas	-0.75	-0.67	-0.09
Northern Illinois	1.08	0.75	0.33
Northwestern	-0.52	-1.43	0.91
Notre Dame	0.78	-0.32	1.1
Ohio	1.53	1.65	-0.12
Ohio State	3.05	0.73	2.32
Oklahoma	1.3	0.05	1.24
Oklahoma State	1.15	-1.6	2.75
Old Dominion	-1.27	1.48	-2.75
Ole Miss	-0.12	-1.34	1.22
Oregon	-0.35	-0.12	-0.23
Oregon State	-1.3	0.56	-1.86
Penn State	2.39	0.26	2.13
Pittsburgh	-2.06	-1.96	-0.1
Purdue	1.7	0.52	1.18
Rice	-0.44	0.96	-1.4
Rutgers	-1.77	-0.89	-0.88
SMU	0.11	1.88	-1.77
San Diego State	1.42	0.57	0.85
San José State	-0.72	0.22	-0.94
South Alabama	-0.26	0.04	-0.3
South Carolina	0.86	-0.77	1.63
South Florida	-1.19	-0.7	-0.49
Southern Mississippi	-2.56	0.9	-3.47
Stanford	-0.62	-1.77	1.15
Syracuse	-0.95	2.2	-3.15
TCU	-1.76	-2.46	0.7
Temple	-1.11	-2.58	1.47
Tennessee	-2.24	-1.0	-1.24
Texas	0.06	-0.2	0.26
Texas A&M	1.02	0.55	0.47
Texas State	-1.05	0.76	-1.81
Texas Tech	1.81	0.99	0.82
Toledo	2.53	1.99	0.54
Troy	-1.31	-0.75	-0.56
Tulane	-2.21	1.32	-3.52
Tulsa	-0.38	0.37	-0.75
UAB	-1.38	1.72	-3.11
UCF	2.3	0.85	1.45
UCLA	-0.16	0.49	-0.64
UMass	-1.63	2.36	-3.99
UNLV	-0.81	0.93	-1.75
USC	-0.01	0.49	-0.49
UT San Antonio	0.16	1.32	-1.16
UTEP	-0.92	2.64	-3.56
Utah	-1.62	-2.94	1.33
Utah State	0.77	-0.02	0.79
Vanderbilt	-0.01	-0.67	0.67
Virginia	-0.38	-1.47	1.1
Virginia Tech	-1.6	1.5	-3.1
Wake Forest	-1.08	1.28	-2.35
Washington	2.79	-0.27	3.07
Washington State	0.36	-1.08	1.44
West Virginia	3.25	1.99	1.25
Western Kentucky	-0.45	-0.67	0.21
Western Michigan	-0.97	1.95	-2.91
Wisconsin	1.69	-0.69	2.39
Wyoming	0.05	0.53	-0.48
