team	off_aPPD	def_aPPD	net_aPPD
Air Force	1.16	1.15	0.01
Akron	-1.01	0.84	-1.85
Alabama	1.73	-0.95	2.68
Appalachian State	-0.19	-0.05	-0.14
Arizona	-0.06	0.22	-0.27
Arizona State	0.71	-0.06	0.77
Arkansas	1.27	0.57	0.7
Arkansas State	0.35	0.57	-0.22
Army	0.33	1.04	-0.7
Auburn	0.92	-1.65	2.57
BYU	-1.28	0.53	-1.81
Ball State	-0.77	1.1	-1.87
Baylor	0.54	-0.0	0.54
Boise State	-0.36	-0.89	0.53
Boston College	-0.75	-0.73	-0.02
Bowling Green	-1.44	1.13	-2.57
Buffalo	-0.19	0.16	-0.36
California	-0.53	-0.58	0.05
Central Michigan	-0.64	0.43	-1.07
Charlotte	-1.32	1.67	-3.0
Cincinnati	0.22	0.42	-0.19
Clemson	1.38	-1.36	2.74
Coastal Carolina	-0.58	0.66	-1.24
Colorado	-0.53	-0.89	0.37
Colorado State	0.67	0.11	0.56
Connecticut	-0.15	1.34	-1.48
Duke	-0.31	-1.24	0.93
East Carolina	0.02	2.04	-2.02
Eastern Michigan	-1.69	-0.77	-0.92
Florida	0.21	-0.41	0.63
Florida Atlantic	0.45	0.32	0.13
Florida International	-0.55	1.13	-1.68
Florida State	-0.47	-1.64	1.17
Fresno State	-0.12	0.16	-0.28
Georgia	0.47	-1.86	2.33
Georgia Southern	-0.52	-0.65	0.13
Georgia State	-2.89	0.49	-3.38
Georgia Tech	0.65	-0.54	1.18
Hawai'i	0.07	1.81	-1.75
Houston	-0.57	-0.57	0.0
Illinois	-0.72	1.08	-1.8
Indiana	0.22	-1.03	1.25
Iowa	0.49	-0.74	1.23
Iowa State	0.44	0.32	0.12
Kansas	0.02	1.85	-1.83
Kansas State	-0.32	-0.85	0.53
Kent State	-1.16	0.86	-2.02
Kentucky	0.07	0.35	-0.28
LSU	-0.16	0.44	-0.6
Liberty	1.66	0.61	1.05
Louisiana	0.14	1.85	-1.71
Louisiana Monroe	-0.04	0.95	-0.99
Louisiana Tech	-0.49	0.84	-1.34
Louisville	0.92	-0.42	1.34
Marshall	-0.38	-0.25	-0.13
Maryland	1.08	0.26	0.81
Memphis	0.1	-0.08	0.18
Miami	1.02	-1.03	2.04
Miami (OH)	-0.47	-0.31	-0.17
Michigan	-0.4	-2.21	1.81
Michigan State	-0.64	-1.0	0.36
Middle Tennessee	-0.69	0.38	-1.07
Minnesota	0.09	-0.8	0.89
Mississippi State	0.41	-0.3	0.7
Missouri	-0.17	0.62	-0.79
NC State	1.26	0.48	0.78
Navy	0.88	0.16	0.72
Nebraska	-0.4	-0.59	0.19
Nevada	-1.12	0.28	-1.4
New Mexico	0.04	-0.1	0.14
New Mexico State	-0.22	-0.04	-0.17
North Carolina	0.42	0.82	-0.39
North Texas	0.72	0.9	-0.18
Northern Illinois	0.04	-0.41	0.45
Northwestern	0.55	0.39	0.16
Notre Dame	1.74	-0.36	2.1
Ohio	0.36	0.99	-0.62
Ohio State	1.5	-1.0	2.51
Oklahoma	1.87	-0.56	2.43
Oklahoma State	1.5	-0.93	2.42
Old Dominion	-1.38	0.21	-1.59
Ole Miss	-0.42	0.76	-1.18
Oregon	1.15	0.09	1.06
Oregon State	-0.22	1.2	-1.42
Penn State	0.63	-1.01	1.64
Pittsburgh	-0.04	-0.0	-0.04
Purdue	0.26	-0.58	0.85
Rice	-1.13	1.31	-2.44
Rutgers	-0.41	0.21	-0.62
SMU	0.49	-0.17	0.66
San Diego State	-0.37	-1.17	0.81
San José State	-1.12	1.57	-2.69
South Alabama	-0.99	1.35	-2.34
South Carolina	-0.59	-0.16	-0.43
South Florida	-0.52	-0.09	-0.43
Southern Mississippi	-0.99	-0.46	-0.54
Stanford	1.25	0.24	1.01
Syracuse	-0.57	-0.03	-0.54
TCU	1.36	-1.12	2.48
Temple	-0.74	0.09	-0.82
Tennessee	-0.14	-0.05	-0.09
Texas	-0.03	-1.63	1.6
Texas A&M	-0.15	-0.4	0.25
Texas State	-1.06	1.0	-2.05
Texas Tech	1.15	0.14	1.0
Toledo	0.89	1.45	-0.56
Troy	-0.41	-0.06	-0.35
Tulane	-0.49	0.07	-0.56
Tulsa	0.24	0.49	-0.25
UAB	0.09	0.75	-0.66
UCF	0.73	-1.2	1.93
UCLA	0.99	0.69	0.3
UMass	-0.38	0.72	-1.1
UNLV	0.51	-0.02	0.53
USC	0.87	-0.41	1.29
UT San Antonio	0.5	-1.0	1.5
UTEP	-1.44	1.38	-2.83
Utah	-0.78	-0.16	-0.62
Utah State	-1.29	0.01	-1.29
Vanderbilt	0.06	0.1	-0.04
Virginia	0.88	-0.15	1.04
Virginia Tech	0.39	-0.62	1.01
Wake Forest	0.54	-0.37	0.91
Washington	0.95	-1.03	1.98
Washington State	0.9	-0.52	1.43
West Virginia	-0.01	-0.28	0.27
Western Kentucky	-1.74	0.32	-2.06
Western Michigan	-0.19	0.2	-0.39
Wisconsin	0.59	-1.03	1.62
Wyoming	-1.42	-0.36	-1.06
