team	off_aPPD	def_aPPD	net_aPPD
Air Force	0.41	1.01	-0.6
Akron	-0.59	0.29	-0.88
Alabama	1.22	-1.1	2.32
Appalachian State	-0.51	0.13	-0.64
Arizona	0.98	0.38	0.59
Arizona State	0.39	-0.0	0.39
Arkansas	0.13	0.53	-0.4
Arkansas State	-0.56	-0.13	-0.42
Army	0.6	0.48	0.12
Auburn	0.83	-1.36	2.19
BYU	-0.88	0.51	-1.39
Ball State	-1.28	1.33	-2.62
Baylor	-0.06	0.07	-0.13
Boise State	0.3	-0.04	0.35
Boston College	0.02	-0.74	0.76
Bowling Green	-0.51	0.83	-1.34
Buffalo	-0.11	0.45	-0.56
California	-0.01	-0.18	0.17
Central Michigan	-0.41	-0.32	-0.09
Charlotte	-1.41	0.75	-2.16
Cincinnati	-0.29	0.62	-0.91
Clemson	0.92	-1.3	2.21
Coastal Carolina	-0.48	1.21	-1.69
Colorado	-0.03	0.1	-0.14
Colorado State	0.39	0.8	-0.41
Connecticut	-0.33	1.09	-1.42
Duke	-0.29	-0.6	0.3
East Carolina	-0.01	1.53	-1.54
Eastern Michigan	-0.57	-0.39	-0.18
Florida	-0.31	-0.13	-0.18
Florida Atlantic	0.83	0.47	0.37
Florida International	-0.24	0.85	-1.09
Florida State	0.03	-0.99	1.02
Fresno State	-0.23	-0.14	-0.09
Georgia	1.13	-1.07	2.2
Georgia Southern	-0.92	0.87	-1.79
Georgia State	-1.34	0.19	-1.52
Georgia Tech	0.76	-0.61	1.37
Hawai'i	-0.3	1.25	-1.55
Houston	-0.28	-0.44	0.16
Illinois	-0.56	0.25	-0.81
Indiana	-0.12	-0.46	0.34
Iowa	0.68	-1.24	1.92
Iowa State	0.55	-0.84	1.39
Kansas	-0.35	0.51	-0.86
Kansas State	-0.03	-0.28	0.25
Kent State	-1.47	0.61	-2.08
Kentucky	-0.08	0.26	-0.34
LSU	0.39	-0.41	0.8
Liberty	1.55	1.17	0.38
Louisiana	-0.75	1.36	-2.11
Louisiana Monroe	0.16	1.7	-1.54
Louisiana Tech	-0.24	0.47	-0.7
Louisville	1.19	0.08	1.11
Marshall	-0.36	-0.08	-0.28
Maryland	0.11	0.37	-0.27
Memphis	0.33	-0.12	0.45
Miami	0.73	-1.13	1.86
Miami (OH)	-0.34	0.17	-0.51
Michigan	0.04	-1.03	1.07
Michigan State	0.13	-0.83	0.96
Middle Tennessee	-0.66	0.04	-0.69
Minnesota	0.16	-0.36	0.53
Mississippi State	0.61	-1.06	1.67
Missouri	0.61	0.4	0.2
NC State	0.68	-0.63	1.31
Navy	0.63	0.48	0.15
Nebraska	0.1	0.36	-0.26
Nevada	-0.2	0.61	-0.8
New Mexico	-1.07	0.58	-1.66
New Mexico State	-0.2	0.6	-0.79
North Carolina	-0.11	0.05	-0.17
North Texas	0.39	0.82	-0.44
Northern Illinois	-0.64	-0.65	0.01
Northwestern	0.32	-0.42	0.74
Notre Dame	1.16	-1.02	2.18
Ohio	0.4	0.06	0.33
Ohio State	1.49	-0.81	2.3
Oklahoma	2.18	-0.03	2.21
Oklahoma State	1.44	-0.55	1.99
Old Dominion	-0.87	0.42	-1.29
Ole Miss	0.37	0.83	-0.46
Oregon	0.12	-0.05	0.17
Oregon State	-0.18	1.14	-1.32
Penn State	1.03	-1.16	2.19
Pittsburgh	0.17	-0.26	0.42
Purdue	-0.2	-0.82	0.63
Rice	-0.83	1.62	-2.46
Rutgers	-0.27	-0.06	-0.22
SMU	0.5	0.46	0.04
San Diego State	-0.27	-0.4	0.13
San José State	-1.4	1.46	-2.86
South Alabama	-0.86	0.34	-1.2
South Carolina	-0.06	-0.4	0.34
South Florida	-0.05	-0.16	0.11
Southern Mississippi	-0.83	0.21	-1.04
Stanford	0.74	-0.06	0.8
Syracuse	0.48	-0.14	0.62
TCU	0.49	-1.11	1.6
Temple	-0.49	-0.07	-0.42
Tennessee	-0.57	0.05	-0.61
Texas	0.01	-1.17	1.18
Texas A&M	0.16	-0.29	0.45
Texas State	-1.49	0.78	-2.27
Texas Tech	0.7	0.0	0.69
Toledo	0.43	0.51	-0.08
Troy	-0.56	-0.28	-0.28
Tulane	-0.41	0.38	-0.79
Tulsa	0.07	0.97	-0.9
UAB	-0.21	0.46	-0.67
UCF	0.69	-0.83	1.51
UCLA	0.65	0.59	0.06
UMass	-0.24	0.26	-0.5
UNLV	-0.13	0.89	-1.02
USC	0.7	-0.53	1.23
UT San Antonio	-0.81	0.06	-0.88
UTEP	-1.72	0.85	-2.57
Utah	-0.29	-0.43	0.14
Utah State	-0.99	-0.12	-0.87
Vanderbilt	0.06	0.71	-0.65
Virginia	-0.33	-0.37	0.05
Virginia Tech	0.28	-1.09	1.37
Wake Forest	0.96	-0.33	1.29
Washington	0.4	-1.23	1.63
Washington State	-0.07	-1.0	0.93
West Virginia	0.77	-0.4	1.17
Western Kentucky	-0.67	0.58	-1.24
Western Michigan	-0.29	0.32	-0.61
Wisconsin	0.8	-1.12	1.92
Wyoming	-0.83	-0.29	-0.55
