team	off_aPPD	def_aPPD	net_aPPD
Air Force	0.62	1.05	-0.43
Akron	-0.55	0.31	-0.86
Alabama	1.06	-1.18	2.25
Appalachian State	-0.51	0.18	-0.69
Arizona	0.98	0.38	0.6
Arizona State	0.4	0.0	0.4
Arkansas	0.12	0.62	-0.49
Arkansas State	-0.33	-0.26	-0.07
Army	0.62	0.64	-0.01
Auburn	0.6	-1.23	1.83
BYU	-0.95	0.47	-1.42
Ball State	-1.36	1.23	-2.6
Baylor	-0.02	0.07	-0.08
Boise State	0.18	-0.19	0.37
Boston College	0.08	-0.61	0.69
Bowling Green	-0.58	0.82	-1.4
Buffalo	-0.19	0.44	-0.63
California	0.02	-0.16	0.18
Central Michigan	-0.47	-0.32	-0.15
Charlotte	-1.56	0.64	-2.2
Cincinnati	-0.3	0.57	-0.87
Clemson	0.89	-1.33	2.21
Coastal Carolina	-0.5	1.14	-1.64
Colorado	0.05	0.18	-0.13
Colorado State	0.2	0.61	-0.4
Connecticut	-0.33	1.09	-1.42
Duke	-0.22	-0.59	0.37
East Carolina	0.06	1.59	-1.53
Eastern Michigan	-0.64	-0.39	-0.24
Florida	-0.35	-0.2	-0.16
Florida Atlantic	0.78	0.53	0.24
Florida International	-0.17	0.7	-0.87
Florida State	-0.06	-0.95	0.89
Fresno State	-0.01	-0.12	0.12
Georgia	1.22	-1.28	2.5
Georgia Southern	-0.87	0.81	-1.68
Georgia State	-1.32	0.23	-1.55
Georgia Tech	0.73	-0.56	1.29
Hawai'i	-0.26	1.4	-1.66
Houston	-0.23	-0.42	0.19
Illinois	-0.56	0.42	-0.98
Indiana	0.02	-0.51	0.52
Iowa	0.67	-1.19	1.86
Iowa State	0.35	-0.97	1.32
Kansas	-0.48	0.55	-1.03
Kansas State	0.11	-0.15	0.26
Kent State	-1.34	0.7	-2.05
Kentucky	-0.09	0.4	-0.49
LSU	0.42	-0.29	0.71
Liberty	1.56	1.14	0.42
Louisiana	-0.79	1.3	-2.09
Louisiana Monroe	0.22	1.77	-1.56
Louisiana Tech	-0.16	0.54	-0.71
Louisville	1.13	0.12	1.01
Marshall	-0.28	-0.12	-0.17
Maryland	0.13	0.35	-0.22
Memphis	0.31	-0.14	0.46
Miami	0.67	-0.87	1.54
Miami (OH)	-0.38	0.18	-0.56
Michigan	0.06	-1.05	1.11
Michigan State	0.13	-0.83	0.97
Middle Tennessee	-0.72	-0.07	-0.65
Minnesota	-0.08	-0.4	0.32
Mississippi State	0.46	-1.15	1.6
Missouri	0.55	0.6	-0.05
NC State	0.86	-0.56	1.42
Navy	0.57	0.48	0.09
Nebraska	0.05	0.1	-0.05
Nevada	-0.12	0.88	-1.0
New Mexico	-0.97	0.37	-1.34
New Mexico State	-0.16	0.56	-0.71
North Carolina	-0.23	-0.01	-0.22
North Texas	0.41	0.85	-0.44
Northern Illinois	-0.71	-0.67	-0.04
Northwestern	0.32	-0.39	0.71
Notre Dame	1.36	-1.08	2.44
Ohio	0.35	0.29	0.06
Ohio State	1.53	-0.82	2.35
Oklahoma	2.17	0.04	2.13
Oklahoma State	1.33	-0.73	2.06
Old Dominion	-0.98	0.47	-1.45
Ole Miss	0.27	0.87	-0.6
Oregon	0.18	-0.01	0.19
Oregon State	-0.11	1.21	-1.32
Penn State	1.05	-1.19	2.24
Pittsburgh	0.15	-0.35	0.5
Purdue	-0.17	-0.79	0.61
Rice	-1.12	1.35	-2.48
Rutgers	-0.25	-0.03	-0.22
SMU	0.54	0.34	0.2
San Diego State	-0.24	-0.43	0.18
San José State	-1.12	1.49	-2.61
South Alabama	-0.99	0.5	-1.48
South Carolina	-0.17	-0.43	0.27
South Florida	-0.07	-0.22	0.15
Southern Mississippi	-1.1	-0.11	-0.99
Stanford	0.64	-0.01	0.65
Syracuse	0.42	-0.3	0.72
TCU	0.61	-1.13	1.74
Temple	-0.53	-0.13	-0.4
Tennessee	-0.36	0.06	-0.42
Texas	0.08	-1.28	1.35
Texas A&M	0.03	-0.12	0.14
Texas State	-1.51	0.74	-2.25
Texas Tech	0.72	0.07	0.64
Toledo	0.57	0.51	0.05
Troy	-0.6	-0.23	-0.38
Tulane	-0.3	0.45	-0.75
Tulsa	0.13	0.96	-0.83
UAB	-0.12	0.62	-0.74
UCF	0.75	-0.83	1.58
UCLA	0.64	0.64	0.0
UMass	-0.26	0.27	-0.53
UNLV	-0.17	0.68	-0.85
USC	0.75	-0.53	1.28
UT San Antonio	-0.63	0.09	-0.73
UTEP	-1.66	0.91	-2.57
Utah	-0.43	-0.45	0.02
Utah State	-0.91	-0.08	-0.83
Vanderbilt	0.14	0.7	-0.55
Virginia	-0.27	-0.4	0.13
Virginia Tech	0.23	-1.13	1.36
Wake Forest	0.74	-0.39	1.13
Washington	0.37	-1.44	1.82
Washington State	-0.09	-1.11	1.02
West Virginia	0.92	-0.26	1.18
Western Kentucky	-0.74	0.67	-1.41
Western Michigan	-0.22	0.51	-0.73
Wisconsin	0.81	-1.12	1.93
Wyoming	-0.76	-0.13	-0.63
