team	off_aPPD	def_aPPD	net_aPPD
Air Force	0.1	0.45	-0.35
Akron	-0.7	-0.28	-0.42
Alabama	2.09	-1.75	3.83
Appalachian State	-0.58	-0.5	-0.08
Arizona	0.05	-0.04	0.08
Arizona State	0.75	-0.04	0.79
Arkansas	0.05	-0.11	0.16
Arkansas State	-0.55	0.29	-0.84
Army	0.85	-0.13	0.98
Auburn	0.18	-1.1	1.28
BYU	-0.08	0.08	-0.16
Ball State	-0.67	0.75	-1.42
Baylor	0.23	0.09	0.14
Boise State	0.48	-0.12	0.6
Boston College	0.13	-0.72	0.85
Bowling Green	-0.49	1.49	-1.98
Buffalo	0.41	0.02	0.38
California	-1.17	-0.93	-0.24
Central Michigan	-0.63	0.13	-0.76
Charlotte	-0.97	0.47	-1.44
Cincinnati	-0.09	-0.67	0.58
Clemson	0.92	-1.59	2.52
Coastal Carolina	-0.25	0.93	-1.18
Colorado	0.12	0.11	0.01
Colorado State	-0.27	0.48	-0.75
Connecticut	-0.87	2.35	-3.22
Duke	0.02	-0.42	0.44
East Carolina	-0.94	0.37	-1.31
Eastern Michigan	-0.1	-0.03	-0.06
Florida	0.82	-1.2	2.02
Florida Atlantic	-0.39	0.27	-0.66
Florida International	0.1	0.85	-0.75
Florida State	-0.34	-0.36	0.02
Fresno State	0.45	-0.86	1.3
Georgia	1.95	-1.45	3.4
Georgia Southern	-0.17	0.6	-0.77
Georgia State	-0.41	1.74	-2.14
Georgia Tech	0.82	0.59	0.23
Hawai'i	0.16	1.14	-0.98
Houston	0.48	0.43	0.06
Illinois	0.09	0.96	-0.87
Indiana	0.22	0.3	-0.08
Iowa	0.63	-0.9	1.53
Iowa State	0.19	-1.16	1.35
Kansas	-0.37	-0.11	-0.26
Kansas State	0.08	-0.15	0.23
Kent State	-0.79	0.61	-1.41
Kentucky	0.22	-1.69	1.91
LSU	0.72	-1.32	2.03
Liberty	-0.41	0.82	-1.23
Louisiana	0.63	1.71	-1.09
Louisiana Monroe	-0.43	0.9	-1.33
Louisiana Tech	-0.44	0.16	-0.6
Louisville	-0.52	1.15	-1.67
Marshall	-1.06	-0.05	-1.01
Maryland	-0.06	-0.68	0.62
Memphis	0.35	0.78	-0.43
Miami	0.0	-1.1	1.1
Miami (OH)	0.32	0.33	-0.01
Michigan	0.9	-1.57	2.47
Michigan State	0.02	-1.18	1.19
Middle Tennessee	-0.63	0.31	-0.94
Minnesota	-0.18	0.26	-0.45
Mississippi State	0.99	-1.44	2.44
Missouri	1.12	-1.05	2.17
NC State	1.05	0.04	1.01
Navy	-0.49	1.12	-1.61
Nebraska	-0.01	0.05	-0.06
Nevada	-0.69	-0.24	-0.45
New Mexico	-0.7	0.11	-0.81
New Mexico State	-1.14	1.0	-2.14
North Carolina	-0.54	0.37	-0.91
North Texas	0.17	-0.21	0.39
Northern Illinois	-0.8	-0.54	-0.26
Northwestern	-0.09	-0.6	0.5
Notre Dame	0.81	-0.84	1.65
Ohio	0.88	0.6	0.28
Ohio State	0.88	-0.19	1.07
Oklahoma	2.33	-0.05	2.38
Oklahoma State	0.63	0.25	0.38
Old Dominion	-0.38	1.52	-1.9
Ole Miss	1.21	0.2	1.01
Oregon	0.15	-0.07	0.22
Oregon State	-0.02	1.48	-1.51
Penn State	0.31	-0.72	1.02
Pittsburgh	0.12	-0.06	0.18
Purdue	0.99	-0.5	1.48
Rice	-1.42	1.36	-2.77
Rutgers	-1.08	0.4	-1.49
SMU	-0.8	0.08	-0.88
San Diego State	-0.43	-0.65	0.21
San José State	-1.12	0.18	-1.3
South Alabama	-0.79	1.29	-2.08
South Carolina	1.0	-0.66	1.65
South Florida	-0.47	0.34	-0.81
Southern Mississippi	-0.97	-0.25	-0.71
Stanford	0.46	-0.24	0.7
Syracuse	0.1	0.1	0.0
TCU	-0.32	-0.87	0.55
Temple	0.07	-0.53	0.6
Tennessee	0.25	-0.41	0.66
Texas	0.85	-0.24	1.08
Texas A&M	0.82	-0.62	1.44
Texas State	-1.77	0.31	-2.08
Texas Tech	0.61	-0.41	1.02
Toledo	0.19	0.64	-0.45
Troy	-0.61	-0.13	-0.48
Tulane	-0.6	-0.12	-0.47
Tulsa	-0.87	0.0	-0.88
UAB	0.02	-0.32	0.35
UCF	1.21	-0.07	1.29
UCLA	0.03	0.27	-0.24
UMass	-0.65	1.07	-1.72
UNLV	-0.22	1.24	-1.46
USC	-0.21	-0.59	0.37
UT San Antonio	-1.44	0.94	-2.38
UTEP	-1.21	0.75	-1.96
Utah	0.41	-0.69	1.1
Utah State	0.6	-0.66	1.26
Vanderbilt	0.72	-0.2	0.92
Virginia	-0.21	-0.31	0.1
Virginia Tech	-0.24	0.17	-0.41
Wake Forest	0.19	0.47	-0.28
Washington	0.56	-0.67	1.23
Washington State	1.36	0.23	1.13
West Virginia	1.34	-0.38	1.72
Western Kentucky	-1.22	0.78	-2.01
Western Michigan	-0.04	0.42	-0.47
Wisconsin	0.48	-0.37	0.85
Wyoming	-0.68	-0.5	-0.18
