team	off_aPPD	def_aPPD	net_aPPD
Air Force	0.25	1.04	-0.79
Akron	-0.84	0.27	-1.11
Alabama	1.25	-1.22	2.47
Appalachian State	-0.35	0.17	-0.52
Arizona	0.92	0.47	0.45
Arizona State	0.54	-0.21	0.75
Arkansas	0.23	0.39	-0.16
Arkansas State	-0.63	0.11	-0.73
Army	1.12	0.7	0.43
Auburn	0.73	-1.52	2.25
BYU	-1.04	0.19	-1.23
Ball State	-1.04	1.48	-2.52
Baylor	0.09	0.09	-0.0
Boise State	0.29	-0.11	0.4
Boston College	0.09	-0.85	0.95
Bowling Green	-0.36	1.14	-1.51
Buffalo	-0.22	0.42	-0.64
California	0.01	-0.09	0.1
Central Michigan	-0.42	-0.14	-0.28
Charlotte	-1.6	0.94	-2.54
Cincinnati	-0.36	0.87	-1.23
Clemson	1.07	-1.63	2.7
Coastal Carolina	-0.52	1.14	-1.65
Colorado	0.0	0.19	-0.19
Colorado State	0.24	0.84	-0.6
Connecticut	-0.65	0.76	-1.41
Duke	-0.03	-0.78	0.74
East Carolina	0.03	1.74	-1.71
Eastern Michigan	-0.63	-0.22	-0.4
Florida	-0.38	-0.34	-0.04
Florida Atlantic	0.77	0.4	0.37
Florida International	0.08	0.86	-0.78
Florida State	0.08	-1.04	1.12
Fresno State	-0.32	-0.22	-0.1
Georgia	1.41	-1.29	2.71
Georgia Southern	-0.81	0.8	-1.6
Georgia State	-1.41	0.31	-1.71
Georgia Tech	0.78	-0.36	1.14
Hawai'i	-0.51	1.46	-1.97
Houston	-0.08	-0.63	0.55
Illinois	-0.83	0.12	-0.95
Indiana	0.15	-0.5	0.65
Iowa	0.65	-1.07	1.71
Iowa State	0.59	-0.71	1.3
Kansas	-0.42	0.44	-0.86
Kansas State	0.22	-0.39	0.61
Kent State	-1.36	0.76	-2.12
Kentucky	0.12	0.37	-0.25
LSU	0.55	-0.33	0.88
Liberty	1.47	0.98	0.49
Louisiana	-0.66	1.6	-2.26
Louisiana Monroe	0.03	1.65	-1.62
Louisiana Tech	-0.32	0.47	-0.79
Louisville	1.43	-0.23	1.66
Marshall	-0.59	0.01	-0.6
Maryland	0.04	0.33	-0.29
Memphis	0.83	-0.11	0.94
Miami	0.44	-0.91	1.34
Miami (OH)	-0.45	0.18	-0.63
Michigan	-0.01	-1.07	1.06
Michigan State	0.11	-0.87	0.98
Middle Tennessee	-0.67	0.12	-0.79
Minnesota	-0.15	-0.1	-0.05
Mississippi State	0.44	-0.96	1.4
Missouri	0.69	0.34	0.35
NC State	0.71	-0.53	1.24
Navy	0.5	0.46	0.04
Nebraska	0.33	0.57	-0.24
Nevada	-0.17	0.65	-0.82
New Mexico	-1.01	0.85	-1.86
New Mexico State	-0.44	0.67	-1.11
North Carolina	-0.12	-0.01	-0.11
North Texas	0.01	0.76	-0.75
Northern Illinois	-0.69	-0.64	-0.05
Northwestern	0.23	-0.67	0.9
Notre Dame	1.04	-0.98	2.01
Ohio	0.13	0.25	-0.12
Ohio State	1.34	-0.98	2.31
Oklahoma	2.25	-0.27	2.52
Oklahoma State	1.44	-0.46	1.91
Old Dominion	-1.1	0.71	-1.81
Ole Miss	0.17	0.34	-0.17
Oregon	0.25	-0.37	0.62
Oregon State	-0.49	1.12	-1.62
Penn State	1.12	-1.15	2.26
Pittsburgh	0.17	-0.44	0.61
Purdue	0.01	-0.81	0.82
Rice	-1.19	1.37	-2.56
Rutgers	-0.37	0.0	-0.37
SMU	0.74	0.65	0.09
San Diego State	-0.15	-0.31	0.16
San José State	-1.49	1.25	-2.74
South Alabama	-1.3	0.61	-1.91
South Carolina	-0.09	-0.48	0.38
South Florida	0.05	-0.33	0.38
Southern Mississippi	-0.66	0.23	-0.88
Stanford	0.83	-0.16	0.99
Syracuse	0.26	0.02	0.24
TCU	0.43	-1.16	1.58
Temple	-0.43	-0.19	-0.24
Tennessee	-0.48	-0.04	-0.44
Texas	-0.17	-1.3	1.13
Texas A&M	0.18	-0.24	0.42
Texas State	-1.37	1.02	-2.39
Texas Tech	0.61	-0.2	0.82
Toledo	0.54	0.38	0.16
Troy	-0.48	-0.24	-0.24
Tulane	-0.24	0.16	-0.4
Tulsa	-0.06	0.93	-0.99
UAB	-0.37	0.55	-0.92
UCF	0.97	-0.52	1.49
UCLA	0.6	0.23	0.37
UMass	-0.43	0.46	-0.88
UNLV	-0.13	1.08	-1.22
USC	0.75	-0.53	1.28
UT San Antonio	-1.07	0.09	-1.15
UTEP	-1.66	1.12	-2.77
Utah	0.03	-0.49	0.52
Utah State	-0.76	-0.1	-0.66
Vanderbilt	0.16	0.6	-0.44
Virginia	-0.13	-0.52	0.38
Virginia Tech	0.16	-1.11	1.27
Wake Forest	0.77	-0.34	1.12
Washington	0.86	-1.11	1.97
Washington State	0.0	-1.0	1.01
West Virginia	0.84	-0.31	1.15
Western Kentucky	-0.71	0.65	-1.37
Western Michigan	-0.38	0.38	-0.75
Wisconsin	0.7	-1.35	2.05
Wyoming	-1.04	-0.3	-0.74
